Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Sagem,Sagem Puma Phone,https://www.gsmarena.com/sagem_puma_phone-3140.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-puma-phone.jpg,GSM / HSPA,No,"2010, February. Released 2010, August",Discontinued,102 x 56 x 13 mm (4.02 x 2.20 x 0.51 in),115.0,,,Mini-SIM,"TFT resistive touchscreen, 256K colors",,2.8,240x320,143,42.5,,,,,,,,,,,,3.15,1,,No,,No,LED flash,Yes,,No,,,No,,2.1,2.0,Yes,"GPS, A-GPS","Accelerometer, compass",880,,,No,,,400.0,,,,,,,,Black,,,,"Stereo FM radio, RDS"
Sagem,Sagem my421z,https://www.gsmarena.com/sagem_my421z-2563.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my421z.jpg,GSM,No,"2008, September. Released 2008, October",Discontinued,97 x 46 x 14 mm (3.82 x 1.81 x 0.55 in),95.0,,,Mini-SIM,"TFT, 256K colors",,2.0,176x220,141,28.2,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,"Black, Silver, Pink",,,,No
Sagem,Sagem Roland Garros,https://www.gsmarena.com/sagem_roland_garros-2329.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-rg.jpg,GSM,No,"2008, February. Released 2008, April",Discontinued,106.9 x 46.3 x 10.9 mm (4.21 x 1.82 x 0.43 in),81.0,,,Mini-SIM,"TFT, 65K colors",,,120x160,,,,,,,,,,,,,,1.3,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Black,,,,No
Sagem,Sagem myMobileTV 2,https://www.gsmarena.com/sagem_mymobiletv_2-2328.php,https://fdn2.gsmarena.com/vv/bigpic/mymobile-tv.jpg,GSM,No,"2008, February. Released 2008, April",Discontinued,-,,,,Mini-SIM,"TFT, 256K colors",,,240x320,,,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,1.1,Proprietary,No,No,,,,,No,,,,,,,,,,,Black,,,,No
Sagem,Sagem my411C Oxbow,https://www.gsmarena.com/sagem_my411c_oxbow-2514.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c-oxbow.jpg,GSM,No,"2008, February. Released 2008",Discontinued,91 x 46 x 16.5 mm (3.58 x 1.81 x 0.65 in),87.0,,,Mini-SIM,"CSTN, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,,,,,No
Sagem,Sagem my855c,https://www.gsmarena.com/sagem_my855c-2304.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my855c.jpg,GSM / HSPA,No,"2008, February. Released 2008",Discontinued,96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in),95.0,,,Mini-SIM,"TFT, 256K colors",,2.0,320x240,200,26.3,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,2.0,Proprietary,No,No,,,,,No,,,,,,,,,,,,,,,No
Sagem,Sagem my810x,https://www.gsmarena.com/sagem_my810x-2512.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my810x.jpg,GSM / UMTS,No,"2007, October",Cancelled,104 x 48 x 16 mm (4.09 x 1.89 x 0.63 in),105.0,,,Mini-SIM,"TFT, 256K colors",,,176x220,,,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,1.2,1.1,No,No,,,,,No,,,,,,,,,,,Black,,,,No
Sagem,Sagem my750x,https://www.gsmarena.com/sagem_my750x-2303.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my750x.jpg,GSM / HSPA,No,"2008, February. Released 2008",Discontinued,108 x 48 x 11 mm (4.25 x 1.89 x 0.43 in),95.0,,,Mini-SIM,"TFT, 256K colors",,2.4,320x240,167,34.4,,,,,,,,,,,,3.15,1,,No,,No,LED flash,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,"Violet, Green, Red, Blue, Orange",,,,"Stereo FM radio, RDS"
Sagem,Sagem my721x,https://www.gsmarena.com/sagem_my721x-2302.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my721x.jpg,GSM,No,"2008, February. Released 2008, May",Discontinued,112 x 48 x 9.8 mm (4.41 x 1.89 x 0.39 in),90.0,,,Mini-SIM,"TFT, 256K colors",,2.0,176x220,141,23.4,,,,,,,,,,,,3.15,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,"Black, Silver",,,,"Stereo FM radio, RDS"
Sagem,Sagem my721z,https://www.gsmarena.com/sagem_my721z-2301.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my721z.jpg,GSM,No,"2008, February. Released 2008",Discontinued,106 x 52 x 12 mm (4.17 x 2.05 x 0.47 in),125.0,,,Mini-SIM,"TFT, 256K colors",,2.2,176x220,128,27.6,,,,,,,,,,,,3.15,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Silver,,,,"Stereo FM radio, RDS"
Sagem,Sagem my521x,https://www.gsmarena.com/sagem_my521x-2300.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my521x.jpg,GSM,No,"2008, July",Discontinued,107 x 46 x 10 mm (4.21 x 1.81 x 0.39 in),90.0,,,Mini-SIM,"TFT, 65K colors",,1.9,128x160,108,23.1,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,"Black,Silver",,,,No
Sagem,Sagem my421x,https://www.gsmarena.com/sagem_my421x-2298.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my421x.jpg,GSM,No,"2008, February. Released 2008",Discontinued,107 x 47 x 10 mm (4.21 x 1.85 x 0.39 in),81.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,20.3,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Black,,,,"Stereo FM radio, RDS"
Sagem,Sagem my429x,https://www.gsmarena.com/sagem_my429x-2297.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x.jpg,GSM,No,"2008, February",Discontinued,106 x 46 x 15 mm (4.17 x 1.81 x 0.59 in),95.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,20.9,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,Wi-Fi 802.11b/g,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Silver,,,,No
Sagem,Sagem my419x,https://www.gsmarena.com/sagem_my419x-2296.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x-new.jpg,GSM,No,"2008, February",Discontinued,106 x 46 x 15 mm (4.17 x 1.81 x 0.59 in),95.0,,,Mini-SIM,"TFT, 65K colors",,1.8,128x160,114,20.9,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,Wi-Fi 802.11b/g,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Silver,,,,No
Sagem,Sagem P9522 Porsche,https://www.gsmarena.com/sagem_p9522_porsche-3210.php,https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9522.jpg,GSM,No,"2008, October. Released 2008, October",Discontinued,112 x 49 x 12 mm (4.41 x 1.93 x 0.47 in),115.0,,,Mini-SIM,"AMOLED resistive touchscreen, 256K colors",,2.8,240x400,167,40.7,Scratch-resistant glass,,,,,,,,,,,5.0,1,,No,,No,,Yes,,No,,,Wi-Fi 802.11 b/g,,,Proprietary,No,"GPS, A-GPS",Fingerprint (front-mounted),,,,No,,,600.0,,,,,,,,Black,,,,"Stereo FM radio, RDS"
Sagem,Sagem P9521 Porsche,https://www.gsmarena.com/sagem_p9521_porsche-3209.php,https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9521.jpg,GSM,No,"2008, October. Released 2008, December",Discontinued,91.5 x 48.3 x 17.8 mm (3.60 x 1.90 x 0.70 in),139.0,,,Mini-SIM,"AMOLED, 256K colors",,2.2,240x320,182,33.9,,,,,,,,,,,,3.15,1,,No,,No,LED flash,Yes,,No,,,No,,1.2,1.1,No,No,Fingerprint (front-mounted),,,,No,,,1200.0,,,,,,,,Black,,,,No
Sagem,Sagem my730c,https://www.gsmarena.com/sagem_my730c-2905.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my730c.jpg,GSM / UMTS,No,"2008, August. Released 2008, Q4",Discontinued,96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in),95.0,,,Mini-SIM,"TFT, 256K colors",,2.0,240x320,200,26.3,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,,miniUSB,No,No,,920,,,No,,,,,,,,,,,Black,,,,No
Sagem,Sagem my411c,https://www.gsmarena.com/sagem_my411c-2295.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c.jpg,GSM,No,"2008, February",Discontinued,91 x 46 x 16 mm (3.58 x 1.81 x 0.63 in),87.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,24.4,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,"Black, Pink",,,,No
Sagem,Sagem my312x,https://www.gsmarena.com/sagem_my312x-2294.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my312x.jpg,GSM,No,"2008, February. Released 2008",Discontinued,109 x 48 x 11 mm (4.29 x 1.89 x 0.43 in),87.0,,,Mini-SIM,"TFT, 65K colors",,1.8,128x160,114,19.5,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Black,,,,No
Sagem,Sagem my234x,https://www.gsmarena.com/sagem_my234x-2293.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg,GSM,No,"2008, February. Released 2008",Discontinued,106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in),75.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,20.9,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Black,,,,FM radio
Sagem,Sagem my231x,https://www.gsmarena.com/sagem_my231x-2292.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg,GSM,No,"2008, February. Released 2008",Discontinued,106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in),75.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,20.9,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Black,,,,No
Sagem,Sagem my230x,https://www.gsmarena.com/sagem_my230x-2291.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my230x.jpg,GSM,No,"2008, February. Released 2008",Discontinued,106 x 46 x 10 mm (4.17 x 1.81 x 0.39 in),65.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,20.9,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,,,,,No
Sagem,Sagem my226x,https://www.gsmarena.com/sagem_my226x-2513.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my226x.jpg,GSM,No,"2008, February. Released 2008",Discontinued,103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in),65.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,670,,,No,,,,,,,,,,,Black,,,,No
Sagem,Sagem my220x,https://www.gsmarena.com/sagem_my220x-2290.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my220x.jpg,GSM,No,"2008, February",Discontinued,107 x 47 x 10 mm (4.21 x 1.85 x 0.39 in),65.0,,,Mini-SIM,"CSTN, 65K colors",,1.5,128x128,121,14.4,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,,,,No,,,60.0,,,,,,,,"Chrome, Bronze, Red",,,,No
Sagem,Sagem my901C,https://www.gsmarena.com/sagem_my901c-2132.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my901c.gif,GSM / UMTS,No,"2007, March. Released 2008, February",Discontinued,90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in),115.0,,,Mini-SIM,"TFT, 256K colors",,1.9,240x320,211,27.6,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,2.0,Proprietary,No,No,,,,,No,,,,,,,,,,,"Black, Dark Blue, Dark Red",,,,No
Sagem,Sagem my900C,https://www.gsmarena.com/sagem_my900c-1505.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my900c.gif,GSM / UMTS,No,"2006, March",Cancelled,90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in),115.0,,,Mini-SIM,"TFT, 256K colors",,,240x320,,,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,,,,,No
Sagem,Sagem my850C,https://www.gsmarena.com/sagem_my850c-2133.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my850c.gif,GSM / UMTS,No,"2006, March",Discontinued,96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in),95.0,,,Mini-SIM,"TFT, 256K colors",,2.0,240x320,200,26.3,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,2.0,1.0,No,No,,,,,No,,,250.0,,,,,,,,Black,,,,No
Sagem,Sagem my800X,https://www.gsmarena.com/sagem_my800x-1504.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my800x.gif,GSM / UMTS,No,"2006, March",Discontinued,110 x 47 x 16 mm (4.33 x 1.85 x 0.63 in),99.0,,,Mini-SIM,"TFT, 256K colors",,,176x220,,,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,1.0,No,No,,1000,,,No,,,190.0,,,,,,,,"Silver, Black",,,,No
Sagem,Sagem my700X,https://www.gsmarena.com/sagem_my700x-1432.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my700x.gif,GSM,No,"2006, February",Discontinued,"106 x 46 x 15 mm, 73 cc (4.17 x 1.81 x 0.59 in)",95.0,,,Mini-SIM,"TFT, 256K colors",,,176x220,,,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,1.2,Proprietary,No,No,,,,,No,,,,,,,,,,,"Silver, Choco, White",,,,FM radio
Sagem,Sagem my600X,https://www.gsmarena.com/sagem_my600x-1710.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my600x.gif,GSM / UMTS,No,"2006, September",Discontinued,110 x 48 x 16 mm (4.33 x 1.89 x 0.63 in),99.0,,,Mini-SIM,"TFT, 256K colors",,1.8,176x220,157,19.3,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,White,,,,No
Sagem,Sagem my600V,https://www.gsmarena.com/sagem_my600v-1793.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my600v.gif,GSM / UMTS,No,"2006, October",Discontinued,110 x 48 x 16 mm (4.33 x 1.89 x 0.63 in),100.0,,,Mini-SIM,"TFT, 256K colors",,1.9,176x220,148,21.5,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,1000,,,No,,,,,,,,,,,Black,,,,No
Sagem,Sagem my511X,https://www.gsmarena.com/sagem_my511x-2135.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my511x.gif,GSM,No,"2007, September",Discontinued,107 x 46 x 10 mm (4.21 x 1.81 x 0.39 in),90.0,,,Mini-SIM,"TFT, 65K colors",,1.9,128x160,108,23.1,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,miniUSB,No,No,,,,,No,,,140.0,,,,,,,,"Black, Blue",,,,No
Sagem,Sagem my501X,https://www.gsmarena.com/sagem_my501x-2134.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my501x.gif,GSM,No,"2006, March",Discontinued,100 x 46 x 16.5 mm (3.94 x 1.81 x 0.65 in),90.0,,,Mini-SIM,"TFT, 256K colors",,1.9,176x220,148,24.7,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,miniUSB,No,No,,,,,No,,,,,,,,,,,"Black, Silver, White",,,,No
Sagem,Sagem my501C,https://www.gsmarena.com/sagem_my501c-1789.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my501c.gif,GSM,No,"2006, August",Discontinued,93 x 44.6 x 23.6 mm (3.66 x 1.76 x 0.93 in),99.0,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,24.6,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,140.0,,,,,,,,"Silver, Red",,,,No
Sagem,Sagem my500X,https://www.gsmarena.com/sagem_my500x-1604.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my500x.gif,GSM,No,"2006, March",Discontinued,100 x 46 x 16.5 mm (3.94 x 1.81 x 0.65 in),90.0,,,Mini-SIM,"TFT, 256K colors",,,176x220,,,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,850,,,No,,,,,,,,,,,,,,,No
Sagem,Sagem my411X,https://www.gsmarena.com/sagem_my411x-2142.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my411x.gif,GSM,No,"2007, May",Discontinued,103.2 x 45.2 x 14.2 mm (4.06 x 1.78 x 0.56 in),85.0,,,Mini-SIM,"CSTN, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,1.2,No,No,No,,,,,No,,,110.0,,,,,,,,Black,,,,No
Sagem,Sagem my405X,https://www.gsmarena.com/sagem_my405x-1503.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my405x.gif,GSM,No,"2006, March",Discontinued,105 x 46 x 15.5 mm (4.13 x 1.81 x 0.61 in),90.0,,,Mini-SIM,"TFT, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,miniUSB 1.1,No,No,,,,,No,,,,,,,,,,,"Silver, Black",,,,No
Sagem,Sagem my401X,https://www.gsmarena.com/sagem_my401x-2139.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my401x.gif,GSM,No,"2006, Q1",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),85.0,,,Mini-SIM,"CSTN, 65K colors",,,128x160,,,,,,,,,,,,,200 SMS messages,,1,,No,,No,,Yes,,No,,,No,,1.2,No,No,No,,,,,No,,,,,,,,,,,Silver,,,,No
Sagem,Sagem my401Z,https://www.gsmarena.com/sagem_my401z-2141.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my401z.gif,GSM,No,"2007, July",Discontinued,90 x 46 x 21 mm (3.54 x 1.81 x 0.83 in),90.0,,,Mini-SIM,"CSTN, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,1.2,No,No,No,,,,,No,,,,,,,,,,,Silver,,,,No
Sagem,Sagem my401C,https://www.gsmarena.com/sagem_my401c-2140.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my401c.gif,GSM,No,"2007, March",Discontinued,86 x 43.3 x 18.5 mm (3.39 x 1.70 x 0.73 in),82.0,,,Mini-SIM,"CSTN, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,1.2,miniUSB 1.1,No,No,,,,,No,,,120.0,,,,,,,,"Silver, Red, Blue/White, Red/White",,,,No
Sagem,Sagem my400V,https://www.gsmarena.com/sagem_my400v-1876.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my400v.gif,GSM,No,"2007, February",Cancelled,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),85.0,,,Mini-SIM,"CSTN, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,No,No,No,,850,,,No,,,,,,,,,,,,,,,No
Sagem,Sagem my400X,https://www.gsmarena.com/sagem_my400x-1421.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my400x.gif,GSM,No,"2006, Q1",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),85.0,,,Mini-SIM,"CSTN, 65K colors",,,128x160,,,,,,,,,,,,,200 SMS messages,,1,,No,,No,,Yes,,No,,,No,,,No,No,No,,850,,,No,,,,,,,,,,,Silver,,,,No
Sagem,Sagem my302X,https://www.gsmarena.com/sagem_my302x-2144.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my302x.gif,GSM,No,"2005, Q4",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),88.0,,,Mini-SIM,"CSTN, 65K colors",,1.7,128x128,106,19.3,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,1.2,,No,No,,,,,No,,,,,,,,,,,Silver,,,,No
Sagem,Sagem my301X,https://www.gsmarena.com/sagem_my301x-2143.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my301x.gif,GSM,No,"2005, Q4",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),88.0,,,Mini-SIM,"CSTN, 65K colors",,1.7,128x128,106,19.3,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,1.2,,No,No,,,,,No,,,,,,,,,,,,,,,No
Sagem,Sagem my300X,https://www.gsmarena.com/sagem_my300x-1334.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my300x.gif,GSM,No,"2005, Q4",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),88.0,,,Mini-SIM,"CSTN, 65K colors",,1.7,128x128,106,19.3,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,850,,,No,,,,,,,,,,,"Blue, Silver, Red",,,,No
Sagem,Sagem my300C,https://www.gsmarena.com/sagem_my300c-2119.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my300c.gif,GSM,No,"2007, March",Discontinued,79.2 x 43.5 x 21.7 mm (3.12 x 1.71 x 0.85 in),79.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,,,,No,,,80.0,,,,,,,,"Black, Silver, Red",,,1.25 W/kg (head),No
Sagem,Sagem my215x,https://www.gsmarena.com/sagem_my215x-1832.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my215x.gif,GSM,No,"2007, January",Discontinued,103 x 44.5 x 15 mm (4.06 x 1.75 x 0.59 in),69.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,680,,,No,,,80.0,,,,,,,,,,,,No
Sagem,Sagem my210x,https://www.gsmarena.com/sagem_my210x-2189.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my210x.jpg,GSM,No,"2007, October. Released 2007, October",Discontinued,103 x 44.5 x 15.4 mm (4.06 x 1.75 x 0.61 in),69.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,miniUSB,No,No,,,,,No,,,,,,,,,,,"Black, Blue, White, Green",,,,No
Sagem,Sagem my200x,https://www.gsmarena.com/sagem_my200x-1455.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my200x.gif,GSM,No,"2006, February",Discontinued,104 x 43 x 15.5 mm (4.09 x 1.69 x 0.61 in),76.0,,,Mini-SIM,"CSTN, 4096 colors",,,,,,,,,,,,,,,,240 KB shared memory (my201x) 470B shared memory (my202x),,,,No,,No,,,,No,,,No,,,No,No,No,,,,,No,,,,,,,,,,,,,,,No
Sagem,Huawei nova 16 Ultra,https://www.gsmarena.com/huawei_nova_16_ultra-14698.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova16-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, June 01","Coming soon. Exp. release 2026, June 06",163 x 78 x 7.1 mm (6.42 x 3.07 x 0.28 in),220.0,Glass,IP68,Nano-SIM + Nano-SIM,"LTPO OLED, 1B colors, HDR Vivid, 120Hz, 2160Hz PWM, 6000 nits (peak)",120,6.84,1320x2856,460,90.4,Kunlun Glass,HarmonyOS 6.1,Kirin 9010S,,,,12,12,256,512,,200.0,3,1.8,Yes,1/1.28,Yes,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K, 1080p, gyro-EIS, HDR Vivid",50.0,Yes,"HDR, panorama","4K, 1080p, gyro-EIS, HDR Vivid","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC, GLONASS","Fingerprint (under display, optical), accelerometer, gyro, compass",7000,100,50,Yes,,,600.0,,,,,,,,"Black, White, Blue",HIP-AL00,,,No
Sagem,Motorola Edge 70 Pro+,https://www.gsmarena.com/motorola_edge_70_pro+-14702.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-70-pro-plus.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, June 01","Coming soon. Exp. release 2026, June",162.7 x 75.6 x 7.2 mm (6.41 x 2.98 x 0.28 in),190.0,Glass,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 144Hz, PWM, HDR10+, 1800 (HBM), 5200 nits (peak)",144,6.78,1272x2772,450,91.4,Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades",Mediatek Dimensity 8500 Extreme (4 nm),4,Octa-core (1x3.4 GHz Cortex-A725 & 3x3.2 GHz Cortex-A725 & 4x2.2 GHz Cortex-A725),Mali-G720 MC8,12,12,256,256,UFS 4.1,50.0,3,1.8,Yes,1/1.56,Yes,"LED flash, HDR, panorama, Pantone Validated Colour and Skin Tones","4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, HDR10+",50.0,Yes,HDR,"4K@30fps, 1080p@30/120fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",6500,90,15,Yes,,,440.0,,,,,,,,"Pantone: Stormy Sea (Green), Zinfandel (Red), Chicory Coffee (Wood)",,,,No
Sagem,Sagem my200C,https://www.gsmarena.com/sagem_my200c-1875.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my200c.gif,GSM,No,"2007, February",Discontinued,74 x 42 x 21 mm (2.91 x 1.65 x 0.83 in),85.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,680,,,No,,,70.0,,,,,,,,"Black, Red, Silver, White & Pink",,,1.10 W/kg (head),No
