Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Oneplus,OnePlus Nord CE6,https://www.gsmarena.com/oneplus_nord_ce6_5g-14611.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6v.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May 07","Available. Released 2026, May 08",162.5 x 77.5 x 8.5 mm (6.40 x 3.05 x 0.33 in),215.0,,IP68,Nano-SIM + Nano-SIM,"AMOLED, 144Hz, 3840Hz PWM, HDR, 800 nits (typ), 1800 nits (HBM), 3600 nits (peak)",144,6.78,1272x2772,450,89.3,,Android 16,Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),4,Octa-core (1x2.7 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,8,8,128,256,UFS 3.1,50.0,2,1.8,Yes,1/2.88,Yes,"Color spectrum sensor, LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS",32.0,Yes,Panorama,"4K@30fps, 1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.2,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",8000,80,,No,,,,,,,,,,,"Pitch Black, Lunar Pearl, Blue",,,,No
Oneplus,OnePlus Nord CE6 Lite,https://www.gsmarena.com/oneplus_nord_ce6_lite_5g-14567.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-6-lite.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May 07","Available. Released 2026, May 12",165.9 x 76 x 8.5 mm (6.53 x 2.99 x 0.33 in),208.0,,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 144Hz, 800 nits (typ), 1000 nits (HBM)",144,6.72,1080x2400,392,86.5,,Android 16,Mediatek Dimensity 7400 Apex (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali G615,6,8,128,256,UFS 3.1,50.0,2,1.8,No,1/2.88,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS",8.0,No,Panorama,"1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.4,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",7000,45,,No,,,,,,,,,,,"Hyper Black, Vivid Mint",,,,No
Oneplus,OnePlus Ace 6 Ultra,https://www.gsmarena.com/oneplus_ace_6_ultra_5g-14637.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-6-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 28","Available. Released 2026, April 28",162.5 x 77.5 x 8.5 mm (6.40 x 3.05 x 0.33 in),217.0,Glass,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, PWM, Dolby Vision, HDR10+, HDR Vivid, 800 nits (typ), 1800 nits (HBM)",165,6.78,1272x2772,450,89.3,Crystal Shield Glass,"Android 16, ColorOS 16",Mediatek Dimensity 9500 (3 nm),3,Octa-core (1x4.21 GHz C1-Ultra & 3x3.5 GHz C1-Premium & 4x2.7 GHz C1-Pro),Mali-G1 Ultra MC12,12,16,256,512,UFS 4.1,50.0,2,1.8,Yes,1/1.55,Yes,"Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS",16.0,No,Panorama,"1080p@30fps, gyro-EIS","802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS (L1+L5), GALILEO (E1+E5a+E5b), QZSS (L1+L5), BDS (B1l+B1C+ B2a+B2b), GLONASS, NavIC (L5)","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",8600,120,,No,,,,,,,,,,,"Gray, Gold",,,,No
Oneplus,OnePlus Pad 4,https://www.gsmarena.com/oneplus_pad_4-14630.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-4-new.jpg,No cellular connectivity,No,"2026, April 24","Available. Released 2026, April 30",289.7 x 209.8 x 5.9 mm (11.41 x 8.26 x 0.23 in),672.0,Glass,,No,"IPS LCD, 68B colors, Dolby Vision, 144Hz, 700 nits (typ), 1000 nits (HBM)",144,13.2,2400x3392,315,87.2,,"Android 16, OxygenOS 16",Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),3,Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,8,12,256,512,UFS 4.1,13.0,1,,No,,Yes,LED flash,"4K@30fps, 1080p@30ps, gyro-EIS",8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",No,6.0,Type-C,No,No,"Accelerometer, proximity (accessories only), gyro, compass",13380,80,,No,,,,,,,,,,,"Dune Glow, Sage Mist",,,,No
Oneplus,OnePlus Watch 4,https://www.gsmarena.com/oneplus_watch_4-14622.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-watch-4.jpg,No cellular connectivity,No,"2026, April 22","Available. Released 2026, April",47.4 x 47.4 x 11 mm (1.87 x 1.87 x 0.43 in),43.0,Titanium,IP68,No,"LTPO AMOLED, 600 nits (typ), 1600 nits (HBM), 3000 nits (peak)",,1.5,466x466,310,,Sapphire crystal glass,OxygenOS Watch 8 + Wear OS 6.0,Qualcomm Snapdragon W5 Gen 1 (4 nm),4,,,2,2,32,32,,,,,No,,No,,,,No,,,"Yes, dual-band",Yes,5.2,No,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Accelerometer, gyro, barometer, compass, heart rate, SpO2, thermometer (skin temperature)",646,5,,No,,,,,,,,,,,"Midnight Titanium, Evergreen Titanium",,,,No
Oneplus,OnePlus Nord 6,https://www.gsmarena.com/oneplus_nord_6_5g-14558.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 07","Available. Released 2026, April 07",162.5 x 77.5 x 8.5 mm (6.40 x 3.05 x 0.33 in),210.0,Glass,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, 3840Hz PWM, HDR10+, 800 nits (typ), 1800 nits (HBM), 3600 nits (peak)",165,6.78,1272x2772,450,89.3,"OnePlus Crystal Guard, Mohs level 8","Android 16, OxygenOS 16",Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),4,Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,8,12,256,512,UFS 4.1,50.0,2,1.8,Yes,1/1.95,Yes,"Color spectrum sensor, LED flash, Ultra HDR, panorama","4K@30/60fps (main), 1080p@30 (ultrawide), gyro-EIS",32.0,Yes,Panorama,"4K@30fps, 1080p@30fps; gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",Yes,6.0,Type-C,No,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",7500,80,,No,,,459.0,359.0,42999,,,,,,"Fresh Mint, Pitch Black, Quick Silver","CPH2795, CPH2793",,,No
Oneplus,OnePlus 15T,https://www.gsmarena.com/oneplus_15t_5g-14385.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-15t.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 24","Available. Released 2026, March 29",150.6 x 71.8 x 8.4 mm (5.93 x 2.83 x 0.33 in),194.0,Glass,IP68,· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, 3840Hz PWM, Dolby Vision, HDR10+, HDR Vivid, 800 nits (typ), 1800 nits (HBM), 3600 nits (peak)",165,6.32,1216x2640,460,90.6,Crystal Shield Glass,"Android 16, OxygenOS 16 (Global), ColorOS 16 (China)",Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),3,Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,12,16,256,512,UFS 4.1,50.0,2,1.8,Yes,1/1.56,Yes,"Color spectrum sensor, LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, Dolby Vision HDR",16.0,No,"HDR, panorama","1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual or tri-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS, NavIC (L5)","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",7500,100,50,No,,,,,,,,,,,"Brown, Green, White",PLZ110,,,No
Oneplus,OnePlus Turbo 6,https://www.gsmarena.com/oneplus_turbo_6_5g-14260.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, January 08","Available. Released 2026, January 09",162.5 x 77.5 x 8.5 mm (6.40 x 3.05 x 0.33 in),217.0,,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, 3840Hz PWM, HDR Vivid, 800 nits (typ), 1800 nits (peak)",165,6.78,1272x2772,450,89.3,,"Android 16, ColorOS 16",Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),4,Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,12,16,256,512,UFS 4.1,50.0,2,1.9,Yes,,Yes,"Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, OIS",16.0,No,"HDR, panorama","1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",Yes,5.4,Type-C,No,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",9000,80,,No,,,,,,,,,,,"Black, White, Mint",PLU110,,,No
Oneplus,OnePlus Turbo 6V,https://www.gsmarena.com/oneplus_turbo_6v_5g-14404.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6v.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, January 08","Available. Released 2026, January 09",162.5 x 77.5 x 8.5 mm (6.40 x 3.05 x 0.33 in),215.0,,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 144Hz, 3840Hz PWM, 800 nits (typ), 1800 nits (peak)",144,6.78,1272x2772,450,89.3,,"Android 16, ColorOS 16",Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),4,Octa-core (1x2.7 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,8,12,256,512,UFS 3.1,50.0,2,1.9,Yes,,Yes,"Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, OIS",16.0,No,"HDR, panorama","1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.4,Type-C,No,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",9000,80,,No,,,,,,,,,,,"Black, White, Blue",PLY110,,,No
Oneplus,OnePlus 15R,https://www.gsmarena.com/oneplus_15r_5g-14358.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-15r.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, December 17","Available. Released 2025, December 22",163.4 x 77 x 8.1 mm or 8.3 mm,213.0,Glass,IP68,· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, PWM, Dolby Vision, HDR10+, HDR Vivid, 1800 nits (HBM), 3600 nits (peak)",165,6.83,1272x2800,450,90.1,Gorilla Glass 7i,"Android 16, OxygenOS 16",Qualcomm SM8845 Snapdragon 8 Gen 5 (3 nm),3,Octa-core (2x3.8 GHz Oryon V3 Phoenix L + 6x3.32 GHz Oryon V3 Phoenix M),Adreno 829,12,12,256,512,UFS 4.1,50.0,2,1.8,Yes,1/1.56,Yes,"Color spectrum sensor, LED flash, HDR, panorama","4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, OIS",32.0,Yes,"HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS, OIS","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",Yes,6.0,Type-C,No,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",7400,80,,No,Active use score 21:36h,699.99,534.0,499.68,54999,1954910,9369,5016,1204,-25.7,"Charcoal Black, Mint Breeze, Electric Violet","CPH2769, CPH2767",1.08 W/kg (head) 1.00 W/kg (body),,No
Oneplus,OnePlus Pad Go 2,https://www.gsmarena.com/oneplus_pad_go_2_5g-14343.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-go2.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, December 17","Available. Released 2025, December 24",266 x 192.8 x 6.8 mm (10.47 x 7.59 x 0.27 in),597.0,Glass,,Yes - cellular model only,"IPS LCD, 68B colors, 120Hz, Dolby Vision, HDR10+, 900 nits (HBM)",120,12.1,1980x2800,283,86.8,Mohs level 6,"Android 16, OxygenOS 16",Mediatek Dimensity 7300 Ultra (4 nm),4,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,8,8,128,256,UFS 3.1,8.0,1,,No,,No,,1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.4,Type-C,No,Unspecified,"Accelerometer, proximity (accessories only), gyro, compass",10050,33,,No,Active use score 14:35h,,,,,719742,2939,877,842,-22.1,"Shadow Black, Lavender Drift","OPD2504, OPD2505",,,No
Oneplus,OnePlus Watch Lite,https://www.gsmarena.com/oneplus_watch_lite-14365.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch-3-lite.jpg,No cellular connectivity,No,"2025, December 17","Available. Released 2025, December 24",45 x 45 x 8.9 mm (1.77 x 1.77 x 0.35 in),35.0,Glass,IP68,No,"AMOLED, 1500 nits (HBM), 3000 nits (peak)",,1.46,464x464,317,,,OxygenOS Watch 7.1,,,,,,,4,4,,,,,No,,No,,,,No,,,No,Yes,5.2,No,No,"GPS (L1+L5), GLONASS, BDS, GALILEO","Accelerometer, gyro, heart rate, SpO2, compass, barometer, thermometer (skin temperature)",339,,,No,,,,,,,,,,,"Black Steel, Silver Steel",,,,No
Oneplus,OnePlus Ace 6T,https://www.gsmarena.com/oneplus_ace_6t_5g-14315.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-6t.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, December 03","Available. Released 2025, December 05",163.4 x 77 x 8.1 mm or 8.3 mm,211.0,Glass,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, PWM, HDR10+, HDR Vivid, 1800 nits (HBM), 3600 nits (peak)",165,6.83,1272x2800,450,90.1,Crystal Shield Glass,"Android 16, ColorOS 16",Qualcomm SM8845 Snapdragon 8 Gen 5 (3 nm),3,Octa-core (2x3.8 GHz Oryon V3 Phoenix L + 6x3.32 GHz Oryon V3 Phoenix M),Adreno 829,12,16,256,512,UFS 4.1,50.0,2,1.8,Yes,1/1.56,Yes,"Color spectrum sensor, LED flash, HDR, panorama","4K@30/60/120fps, 1080p@30/60/120fps, gyro-EIS, OIS",16.0,No,"HDR, panorama","1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",Yes,5.4,Type-C,No,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",8300,100,,No,,,,,,,,,,,"Black, Purple, Green",PLR110,,,No
Oneplus,OnePlus 15,https://www.gsmarena.com/oneplus_15_5g-14206.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-15.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, October 27","Available. Released 2025, October 28",161.4 x 76.7 x 8.1 mm (6.35 x 3.02 x 0.32 in),211.0,Glass,IP68,· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 165Hz, PWM, Dolby Vision, HDR10+, HDR Vivid, 800 nits (typ), 1800 nits (HBM)",165,6.78,1272x2772,450,90.8,Gorilla Glass Victus,"Android 16, OxygenOS 16 (Global), ColorOS 16 (China)",Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),3,Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,12,16,256,512,UFS 4.1,50.0,3,1.8,Yes,1/1.56,Yes,"Laser focus, color spectrum sensor, LED flash, HDR, panorama, LUT preview","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS, Dolby Vision, LUT",32.0,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual or tri-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","Fingerprint (under display, ultrasonic), accelerometer, proximity, gyro (UAV-grade), compass, barometer (exc. China)",7300,120,50,Yes,Active use score 23:07h,729.95,782.85,819.0,77999,2790237,11062,7370,1364,-24.8,"Infinite Black, Ultra Violet, Sand Storm","CPH2747, CPH2745, PLK110, CPH2749",1.17 W/kg (head) 1.00 W/kg (body),,No
Oneplus,OnePlus Ace 6,https://www.gsmarena.com/oneplus_ace_6_5g-14259.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace6.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, October 27","Available. Released 2025, October 30",163.4 x 77 x 8.3 mm (6.43 x 3.03 x 0.33 in),213.0,Glass,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, PWM, HDR10+, Dolby Vision, HDR Vivid, 800 nits (typ), 1800 nits (HBM)",165,6.83,1272x2800,450,90.1,Crystal Shield Glass,"Android 16, ColorOS 16",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),3,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,12,16,256,512,UFS 4.1,50.0,2,1.8,Yes,1/4.0,Yes,"Color spectrum sensor, LED flash, HDR, panorama","4K@30/60/120fps, 1080p@30/60/120fps, gyro-EIS, OIS",16.0,No,"HDR, panorama","1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",Yes,5.4,Type-C,No,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",7800,120,,No,,,,,,,,,,,"Black, White, Silver",PLQ110,,,No
